time,open,high,low,close,Kernel Regression Estimate,Buy,Sell,StopBuy,StopSell,Volume,Bollinger BandWidth,Highest Expansion,Lowest Contraction
1768893660,4105,4107,4104,4106,4105.5287705904175,,,,,45,0.21119808462699252,0.8227648604877017,0.15916792499281465
1768893840,4107,4108,4103,4105,4105.449620420717,,,,,102,0.2017711713407488,0.8227648604877017,0.15916792499281465
1768894020,4105,4106,4105,4106,4105.469781441054,,,,,23,0.19628310053602596,0.8227648604877017,0.15916792499281465
1768894200,4106,4110,4106,4108,4105.682457915154,,,,,157,0.19628310053602596,0.8227648604877017,0.15916792499281465
1768894380,4109,4110,4109,4110,4106.081693810028,,,,,121,0.15240426044977978,0.8227648604877017,0.15240426044977978
1768894560,4110,4115,4110,4111,4106.5705297693385,,,,,394,0.18119989518425636,0.8227648604877017,0.15240426044977978
1768894740,4111,4111,4108,4108,4106.777813309941,,,,,68,0.18508146018003585,0.8227648604877017,0.15240426044977978
1768894920,4108,4108,4103,4103,4106.511620848421,,,,,184,0.19206569645045463,0.8227648604877017,0.15240426044977978
1768895100,4103,4106,4103,4104,4106.324355266349,,,,,79,0.1979104480568144,0.8227648604877017,0.15240426044977978
1768895280,4105,4105,4098,4099,4105.670810175374,,,,,309,0.2481453693514132,0.8227648604877017,0.15240426044977978
1768895460,4098,4098,4092,4093,4104.4643453460185,,,,,328,0.36705187596412214,0.8227648604877017,0.15240426044977978
1768895640,4094,4098,4091,4091,4103.08516995372,,,,,314,0.467274472187341,0.8227648604877017,0.15240426044977978
1768895820,4091,4093,4087,4089,4101.5671310687685,,,,,227,0.5636031060071122,0.8227648604877017,0.15240426044977978
1768896000,4089,4092,4088,4090,4100.19939742866,,,,,107,0.626946867107258,0.8227648604877017,0.15240426044977978
1768896180,4090,4092,4088,4088,4098.726656871191,,,,,114,0.6958211849733293,0.8227648604877017,0.15240426044977978
1768896360,4089,4091,4089,4090,4097.523969124601,,,,,22,0.7311564712968941,0.8227648604877017,0.15240426044977978
1768896540,4090,4095,4089,4095,4096.878364394196,,,,,74,0.7380856022060529,0.8227648604877017,0.15240426044977978
1768896720,4095,4098,4094,4095,4096.338967995793,,,,,115,0.7423614587122668,0.8227648604877017,0.15240426044977978
1768896900,4095,4097,4093,4096,4095.987764344351,,,,,59,0.741407366206675,0.8227648604877017,0.15240426044977978
1768897080,4096,4099,4096,4098,4095.911293290253,,,,,108,0.7320850968905566,0.8227648604877017,0.15240426044977978
1768897260,4098,4099,4097,4097,4095.822568967914,,,,,36,0.7175320169580776,0.8227648604877017,0.15240426044977978
1768897440,4097,4101,4096,4100,4096.07126754074,,,,,135,0.7047685248047265,0.8227648604877017,0.15240426044977978
1768897620,4100,4100,4098,4099,4096.27387318578,,,,,36,0.6850370268179639,0.8227648604877017,0.15240426044977978
1768897800,4100,4105,4097,4105,4097.056148576706,,,,,204,0.6673627061593133,0.8227648604877017,0.15240426044977978
1768897980,4104,4107,4103,4106,4097.940815283456,,,,,163,0.6380543524806425,0.8227648604877017,0.15240426044977978
1768898160,4106,4106,4104,4106,4098.815860392901,,,,,50,0.5965098054440301,0.8227648604877017,0.15240426044977978
1768898340,4106,4108,4105,4107,4099.752718851825,,,,,83,0.5885359579762113,0.8227648604877017,0.15240426044977978
1768898520,4107,4107,4104,4105,4100.462390088937,,,,,63,0.5987945143878549,0.8227648604877017,0.15240426044977978
1768898700,4104,4106,4101,4101,4100.753869349142,,,,,188,0.5869419896130846,0.8227648604877017,0.15240426044977978
1768898880,4101,4101,4091,4093,4100.256151856102,,,,,428,0.5935247155620195,0.8227648604877017,0.15240426044977978
1768899060,4092,4094,4089,4093,4099.705890114034,,,,,280,0.5935247155620195,0.8227648604877017,0.15240426044977978
1768899240,4093,4096,4092,4096,4099.3930741641225,,,,,116,0.5779294834534359,0.8227648604877017,0.15240426044977978
1768899420,4097,4102,4096,4102,4099.607446670681,,,,,148,0.5529199985325318,0.8227648604877017,0.15240426044977978
1768899600,4102,4106,4102,4104,4099.99709617919,,,,,262,0.5350541685007218,0.8227648604877017,0.15240426044977978
1768899780,4104,4107,4104,4107,4100.655800897225,,,,,141,0.5040302047630113,0.8227648604877017,0.15240426044977978
1768899960,4107,4112,4105,4111,4101.662563591696,,,,,434,0.5083423418193983,0.8227648604877017,0.15240426044977978
1768900140,4111,4111,4101,4102,4101.830965631219,,,,,201,0.49181998122674286,0.8227648604877017,0.15240426044977978
1768900320,4102,4105,4101,4104,4102.158453657797,,,,,67,0.47516784531535194,0.8227648604877017,0.15240426044977978
1768900500,4104,4105,4103,4103,4102.365212489494,,,,,77,0.45891471577284215,0.8227648604877017,0.15240426044977978
1768900680,4103,4104,4102,4104,4102.633524469322,,,,,85,0.45199206700605776,0.8227648604877017,0.15240426044977978
1768900860,4105,4106,4103,4104,4102.869133571767,,,,,81,0.43755288198847053,0.8227648604877017,0.15240426044977978
1768901040,4103,4104,4103,4103,4102.986011498289,,,,,63,0.4336909914204064,0.8227648604877017,0.15240426044977978
