time,open,high,low,close,Volume
1765791900,4022,4025,4020,4023,122
1765792200,4022,4023,4020,4022,168
1765792500,4022,4028,4018,4021,916
1765803600,4021,4023,4017,4021,269
1765803900,4020,4022,4011,4017,158
1765804200,4017,4021,4016,4020,57
1765804500,4020,4021,4015,4017,126
1765804800,4016,4016,4013,4016,32
1765805100,4017,4020,4017,4018,25
1765805400,4018,4019,4015,4015,54
1765805700,4015,4018,4015,4018,20
1765806000,4019,4022,4018,4021,59
1765806300,4020,4023,4020,4021,113
1765806600,4021,4021,4017,4018,34
1765806900,4018,4019,4016,4016,16
1765807200,4017,4019,4017,4019,12
1765807500,4020,4020,4018,4020,10
1765807800,4020,4020,4018,4018,10
1765808100,4019,4019,4014,4014,85
1765808400,4014,4015,4013,4015,45
1765808700,4016,4016,4013,4015,11
1765809000,4013,4014,4008,4013,225
1765809300,4012,4012,4009,4009,78
1765809600,4009,4014,4009,4009,125
1765809900,4010,4011,4007,4009,108
1765810200,4010,4010,4007,4008,50
1765810500,4009,4010,4007,4007,81
1765810800,4008,4010,4008,4008,35
1765811100,4010,4011,4009,4011,60
1765811400,4012,4015,4007,4014,100
1765811700,4013,4013,4010,4010,121
1765812000,4010,4014,4008,4008,187
1765812300,4008,4014,4007,4010,355
1765852200,3997,4002,3990,3995,1503
1765852500,3996,4006,3994,4000,796
1765852800,4001,4006,3998,3999,577
1765853100,4000,4002,3991,3991,538
1765853400,3992,3993,3987,3989,477
1765853700,3989,3989,3980,3984,584
1765854000,3983,3989,3980,3989,596
1765854300,3987,3990,3982,3988,334
1765854600,3987,3991,3983,3990,355
1765854900,3990,3995,3989,3992,227
1765855200,3991,3994,3991,3991,128
1765855500,3991,3994,3989,3989,180
1765855800,3989,3990,3985,3985,163
1765856100,3985,3992,3983,3989,162
1765856400,3989,3990,3985,3986,75
1765856700,3986,3987,3985,3987,57
1765857000,3987,3990,3987,3990,56
1765857300,3990,3990,3988,3988,27
1765857600,3988,3995,3988,3994,124
1765857900,3994,3997,3991,3997,204
