entry_time,entry_price,exit_time,exit_price,direction,reason
18,4014.0,29,4013.3624768940067,short,trail
30,4010.0,32,4013.810627454859,short,trail
33,3995.0,34,3999.1479389789347,short,trail
35,3999.0,36,4000.8622535073464,short,trail
37,3989.0,41,3990.543035810048,short,trail
42,3992.0,51,3991.6564205040468,short,trail
52,3997.0,54,3993.4893746911844,long,trail
55,3990.0,56,3996.7999779448464,short,trail
57,4003.0,58,4003.011205472852,short,trail
59,3998.0,69,3980.1934755504176,short,tp
70,3966.0,72,3975.332028782549,short,sl
73,3988.0,74,3984.8221424911917,long,trail
75,3985.0,80,3987.853187131881,short,trail
81,3968.0,84,3978.6710193063736,short,trail
85,3979.0,90,3975.595717249087,long,trail
91,3972.0,94,3966.5970632119734,long,trail
95,3966.0,98,3972.965138942181,short,trail
99,3959.0,100,3965.621895503936,long,trail
101,3955.0,107,3948.71629501946,short,trail
108,3946.0,109,3954.0308870320855,short,trail
110,3958.0,114,3962.827251366254,short,trail
115,3969.0,117,3959.5145877362756,long,trail
118,3961.0,128,3940.4556629387976,short,tp
129,3959.0,130,3966.5728259523803,short,trail
131,3954.0,139,3951.8952474597354,short,trail
140,3947.0,142,3956.887156949358,short,trail
143,3957.0,148,3962.8049365389284,short,trail
149,3955.0,152,3961.6553725658146,short,trail
153,3968.0,154,3965.9349896103195,short,trail
155,3961.0,161,3960.2479708952465,short,trail
162,3962.0,166,3962.948730704452,long,trail
167,3978.0,170,3971.1399728667707,long,trail
171,3971.0,174,3975.4392892272012,short,trail
175,3982.0,178,3974.8644564864094,long,trail
179,3970.0,184,3975.8543102989734,short,trail
185,3974.0,190,3971.2994326423463,long,trail
191,3971.0,195,3969.5855284552667,short,trail
196,3975.0,198,3980.660680035066,short,trail
199,3983.0,201,3989.2447208589792,short,trail
202,3988.0,204,3995.095900775211,short,trail
205,3999.0,213,4001.3086149431224,short,trail
214,3997.0,220,3993.4075498381594,long,trail
221,4002.0,225,4015.5796838781084,long,trail
226,4018.0,227,4017.811053956124,long,trail
228,4016.0,229,4011.8753475438007,long,trail
230,4010.0,233,4009.678016940897,short,trail
234,4013.0,245,4003.0907412898587,short,trail
246,4002.0,249,3999.7759569444934,short,trail
250,3986.0,262,3979.142385795826,short,trail
263,3978.0,269,3980.0642740519274,short,trail
270,3985.0,277,3984.3895991903055,long,trail
278,3984.0,279,3988.7023353920326,short,trail
280,3989.0,286,3987.120760881958,long,trail
287,3989.0,291,3986.0600806766806,short,trail
292,3980.0,293,3979.5119712532705,long,trail
294,3982.0,297,3986.42038705319,short,trail
298,3990.0,303,3985.4866596677643,long,trail
304,3991.0,309,3986.1855901564586,long,trail
310,3985.0,313,3987.612085056783,short,trail
314,3990.0,321,3983.110206732987,long,sl
322,3953.0,328,3950.5406140190257,short,trail
329,3947.0,335,3943.5828154945243,short,trail
336,3935.0,342,3941.7413315467247,short,trail
343,3945.0,345,3941.962753131139,long,trail
346,3948.0,347,3943.067373873278,long,trail
348,3941.0,357,3936.6732150513308,short,trail
358,3931.0,364,3922.145394494173,short,trail
365,3913.0,369,3918.6285707925363,short,trail
370,3925.0,374,3920.9142769097825,long,trail
375,3921.0,384,3910.939859721409,short,trail
385,3914.0,387,3942.61210939944,long,trail
388,3943.0,390,3940.438117948043,short,trail
391,3938.0,392,3941.6915404756082,short,trail
393,3942.0,406,3954.482419146695,long,trail
407,3969.0,411,3988.3897930132803,long,tp
412,3993.0,420,3989.35165925246,long,trail
421,3990.0,429,3994.9810602246916,short,trail
430,3993.0,436,3992.5805377061833,long,trail
437,3990.0,440,3996.0265452565,short,trail
441,4003.0,446,4000.232645360487,long,trail
